track_name,artist,album,duration_ms,genres,year
Stay,Maurice Williams & The Zodiacs,Stay (Just A Little Bit Longer),97507,"['pop', 'uk pop']",1920
(Let Me Be Your) Teddy Bear,Elvis Presley,Elvis' Golden Records,107187,"['pop', 'post-teen pop']",1920
Finger Poppin' Time,Hank Ballard & The Midnighters,All 20 Of Their Chart Hits 1953-1962,111827,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1920
Hard Headed Woman,Elvis Presley,King Creole,113480,"['canadian pop', 'pop', 'post-teen pop']",1920
Happy Go Lucky Me,Paul Evans,Hear Paul Evans in Your Home Tonight,114139,"['detroit hip hop', 'hip hop', 'rap']",1920
Pretty Blue Eyes,Steve Lawrence,Greatest Hits: Steve Lawrence,114473,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']",1920
Come On-A My House,Rosemary Clooney,The Essential Rosemary Clooney,116933,"['electropop', 'pop']",1920
All Shook Up,Elvis Presley,Elvis' Golden Records,117080,"['pop', 'post-teen pop']",1920
When Will I Be Loved,The Everly Brothers,Greatest and Original Hits,118773,"['modern rock', 'rock']",1920
Sixteen Reasons,Connie Stevens,Sixteen Reasons,119066,"['classic rock', 'glam rock', 'rock']",1920
Walking To New Orleans - Remastered,Fats Domino,Greatest Hits: Walking To New Orleans,121213,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",1920
Don't Be Cruel,Elvis Presley,Elvis' Golden Records,122893,"['latin', 'reggaeton', 'trap latino']",1920
Wake up Little Susie,The Everly Brothers,The Very Best of The Everly Brothers,123520,"['dfw rap', 'melodic rap', 'rap']",1920
Handy Man,Jimmy Jones,Handy Man,124108,"['k-pop', 'k-pop boy group']",1920
Because They’re Young,Duane Eddy,Twangy Guitar,124507,"['canadian contemporary r&b', 'canadian pop', 'pop']",1920
Let's Think About Living,Bob Luman,Livin' Lovin' Sounds,124800,"['pop', 'pop rock']",1920
How High the Moon - Remastered,Les Paul & Mary Ford,How High the Moon (Remastered),125289,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",1920
(What A) Wonderful World - Remastered,Sam Cooke,The Wonderful World Of Sam Cooke (Remastered),125507,"['dance pop', 'pop', 'post-teen pop']",1920
Hearts of Stone,The Fontaine Sisters,Happy Days and Lonely Nights,125852,"['permanent wave', 'pop']",1920
Walk Don't Run,The Ventures,The Very Best Of The Ventures,126480,['electro house'],1920
Footsteps,Steve Lawrence,Footsteps,127018,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",1920
Heartbreak Hotel,Elvis Presley,Elvis' Golden Records,127560,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",1920
Go Jimmy Go,Jimmy Clanton,"Go, Jimmy, Go",128888,"['dance pop', 'pop', 'post-teen pop', 'r&b']",1920
The Big Hurt,Toni Fisher,The Big Hurt!,129106,"['british soul', 'pop', 'pop soul', 'uk pop']",1920
Good Timin,Jimmy Jones,Classic and Collectable - Jimmy Jones - Good Timin',129306,"['emo rap', 'miami hip hop']",1920
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,Rock Around The Clock,129893,"['dance pop', 'pop', 'post-teen pop']",1920
Lonely Weekends,Charlie Rich,The Very Best of Charlie Rich - Lonely Weekends,130080,"['desi pop', 'filmi', 'modern bollywood']",1920
Cool Water,Sons of the Pioneers,Cool Water And Seventeen Timeless Western Favorites,131840,"['latin', 'reggaeton', 'reggaeton colombiano']",1920
It's Only Make Believe,Conway Twitty,Conway Twitty Sings,132027,"['dance pop', 'pop', 'uk pop']",1920
The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas,"Anton Karas plays ""The Third Man Theme""",133520,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",1920
The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas,"Anton Karas plays ""The Third Man Theme""",133520,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",1920
Love Letters In The Sand - Single Version,Pat Boone,Pat Boone's Greatest Hits (Reissue),134560,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",1920
Beatnik Fly,Johnny & The Hurricanes,Greatest Hits,134773,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",1920
Party Doll,Buddy Knox,Buddy Knox,135173,"['dance pop', 'electropop', 'pop', 'post-teen pop']",1920
The Thing,Phil Harris & His Orchestra,The Very Best of Phill Harris (Nostalgic Memories Volume 65),135227,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",1920
Tequila,The Champs,Greatest Hits / Tequila,135240,"['k-pop', 'k-pop girl group']",1920
Honeycomb,Various Artists,Rock'n Roll Is Back,135520,"['boy band', 'pop', 'post-teen pop', 'talent show']",1920
Swingin' School,Bobby Rydell,Greatest Hits,135560,"['glam metal', 'hard rock', 'rock']",1920
Lady Luck,Lloyd Price,Mr Personality,135853,"['modern rock', 'rock']",1920
Hound Dog,Elvis Presley,Elvis' Golden Records,136027,['sertanejo'],1920
Baby My Heart,The Crickets,That'll Be the Day,136046,"['dance pop', 'pop', 'post-teen pop']",1920
Forever,Various Artists,Music Enchanted Me,136373,"['dance pop', 'edm', 'pop', 'pop dance']",1920
Lonely Blue Boy,Conway Twitty,Here's Conway,136438,"['australian dance', 'australian pop', 'dance pop', 'pop']",1920
Walkin' My Baby Back Home,Various Artists,Top Hits Of The 1930s,136467,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1920
Jeepers Creepers,Various Artists,Top Hits Of The 1930s,137000,"['australian rock', 'hard rock', 'rock']",1920
Cry,Johnnie Ray,Vintage Vocal Jazz / Swing No. 101 - EP: Walking And Crying,137530,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",1920
The Purple People Eater,Sheb Wooley,The Purple People Eater,137960,"['pop', 'r&b', 'soul']",1920
Memories Are Made Of This,Dean Martin,"Hey, Brother Pour The Wine",138080,"['desi pop', 'filmi', 'modern bollywood']",1920
Cherry Pie,Skip & Flip,The Best of Skip & Flip,138267,"['dance pop', 'pop', 'post-teen pop']",1920
Diana,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,138360,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",1920
He'll Have to Go,Jim Reeves,The Essential Jim Reeves,138640,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",1920
Devil Or Angel,Bobby Vee,Essential,139440,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",1920
Stuck on You,Elvis Presley,The 50 Greatest Hits,139667,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1920
Dreamin',Johnny Burnette,25 Greatest Hits,140160,"['dance pop', 'pop', 'post-teen pop']",1920
Cradle Of Love,Johnny Preston,Above The Clouds,140200,"['chicago rap', 'melodic rap']",1920
Wild One,Bobby Rydell,Wild One,141009,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",1920
The Old Lamplighter,The Browns,The Complete Pop & Country Hits,141120,"['rap', 'slap house']",1920
The Ballad of Davy Crockett,Bill Hayes,The Ballad of Davy Crockett,141410,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",1920
Please Help Me I'm Falling,Hank Locklin,RCA Country Legends,141467,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",1920
Mule Skinner Blues,The Fendermen,Mule Skinner Blues,142267,"['pop', 'pop rap', 'post-teen pop', 'rap']",1920
This Ole House - Single Version,Rosemary Clooney,The Essential Rosemary Clooney,142267,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",1920
Let the Little Girl Dance,Billy Bland,The Original Hit Recording - Let the Little Girl Dance,143099,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",1920
All I Have to Do Is Dream,The Everly Brothers,The Very Best of The Everly Brothers,143333,"['dance pop', 'pop', 'post-teen pop']",1920
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,143375,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",1920
Let Me Go Lover (with Jimmy Carroll & His Orchestra),Various Artists,16 Most Requested Songs Of The 1950s. Volume One,143400,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",1920
Beyond The Blue Horizon,Various Artists,Top Hits Of The 1930s,143800,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",1920
Sweet Nothin's,Brenda Lee,Classic Brenda Lee - The Universal Masters Collection,143827,"['sertanejo', 'sertanejo universitario']",1920
Cathy's Clown,The Everly Brothers,The Golden Hits Of The Everly Brothers,144013,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",1920
Mr. Sandman,The Chordettes,The Chordettes,144200,"['pop', 'post-teen pop']",1920
Theme from a Summer Place,Percy Faith,A Summer Place,144267,"['alternative r&b', 'pop']",1920
Fascinating Rhythm,George Gershwin,The Songs of George Gershwin,144827,"['chicago rap', 'rap']",1920
Brand New Key,Melanie,Beautiful People: The Greatest Hits of Melanie,144867,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1920
